,NAME,G,GS,MP,FG,FGA,FG_pct,P3,PA3,P3_pct,P2,PA2,P2_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,futPTS
304,Stephen Graham,10.333333333333334,0.0,7.0,0.7666666666666666,2.3000000000000003,0.3213333333333333,0.20000000000000004,0.8666666666666667,0.21666666666666667,0.5666666666666668,1.3666666666666665,0.2956666666666667,0.371,0.6666666666666666,0.6999999999999998,0.9776666666666666,0.13333333333333333,1.0,1.1333333333333333,0.3666666666666667,0.16666666666666666,0.03333333333333333,0.5666666666666667,1.0666666666666669,2.3666666666666667,0.9333333333333332
305,Danny Granger,80.0,51.33333333333334,30.866666666666664,4.8,10.6,0.4556666666666666,1.2666666666666668,3.333333333333333,0.3696666666666665,3.5,7.2666666666666675,0.487,0.511,2.8000000000000003,3.4,0.8106666666666666,1.4333333333333331,3.8,5.2,1.5666666666666664,0.9,0.8666666666666667,1.5666666666666669,3.1,13.666666666666664,8.6
306,Brian Grant,60.66666666666666,49.66666666666666,28.2,4.833333333333333,9.833333333333334,0.486,0.03333333333333333,0.10000000000000002,0.16166666666666665,4.800000000000002,9.766666666666666,0.4883333333333333,0.4869999999999999,3.0666666666666664,4.3,0.7153333333333333,2.266666666666667,4.500000000000001,6.8,1.3333333333333333,0.6333333333333334,1.2666666666666666,2.066666666666667,3.333333333333333,12.7,4.033333333333333
307,Gary Grant,61.0,52.33333333333334,30.96666666666667,4.833333333333333,10.7,0.4506666666666667,0.10000000000000002,0.4666666666666666,0.232,4.733333333333333,10.266666666666667,0.4613333333333334,0.456,1.5,2.0,0.7343333333333333,1.1333333333333335,2.466666666666667,3.633333333333333,8.566666666666668,2.0,0.13333333333333333,3.8,2.6333333333333333,11.233333333333334,2.6
308,Greg Grant,52.33333333333334,1.0,9.366666666666667,1.0666666666666669,2.566666666666667,0.398,0.03333333333333333,0.20000000000000004,0.3033333333333333,1.0,2.3666666666666667,0.4063333333333334,0.41200000000000003,0.3666666666666667,0.5333333333333333,0.7756666666666666,0.13333333333333333,0.6,0.7999999999999999,2.2,0.5333333333333333,0.0,0.7666666666666666,0.8333333333333334,2.533333333333333,0.03333333333333333
309,Harvey Grant,76.33333333333333,34.0,25.5,4.633333333333334,9.6,0.4783333333333333,0.0,0.10000000000000002,0.044333333333333336,4.633333333333334,9.5,0.48200000000000004,0.4783333333333333,1.3666666666666665,1.9,0.68,1.7,2.8666666666666667,4.566666666666666,1.7666666666666668,0.7666666666666666,0.5666666666666668,1.0,2.5,10.666666666666666,6.0
310,Horace Grant,80.0,55.0,30.866666666666664,4.6,8.966666666666667,0.5143333333333334,0.0,0.03333333333333333,0.0,4.6,8.9,0.516,0.5143333333333334,1.8,2.6333333333333333,0.6763333333333333,2.6333333333333333,4.7,7.333333333333332,2.0,0.9666666666666668,0.8666666666666667,1.3666666666666665,2.9333333333333336,11.033333333333333,4.266666666666667
312,Aaron Gray,49.66666666666666,6.333333333333332,10.833333333333336,1.4666666666666666,2.966666666666667,0.5006666666666667,0.0,0.0,0.0,1.4666666666666666,2.966666666666667,0.5023333333333334,0.5006666666666667,0.7000000000000001,1.2,0.6186666666666666,1.3333333333333333,1.9666666666666668,3.333333333333333,0.7333333333333334,0.3,0.3,0.7333333333333334,2.0,3.7,0.7666666666666666
314,Stuart Gray,58.0,1.3333333333333333,7.366666666666667,0.7333333333333334,1.7333333333333334,0.4286666666666667,0.0,0.0,0.0,0.7333333333333334,1.7333333333333334,0.4286666666666667,0.4286666666666667,0.6,0.9,0.6779999999999999,0.6666666666666666,1.5,2.1666666666666665,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.7333333333333334,1.5666666666666669,2.1,1.0
315,Jeff Grayer,54.66666666666666,16.333333333333332,18.533333333333328,2.9,6.466666666666666,0.44366666666666665,0.0,0.10000000000000002,0.04166666666666666,2.8666666666666667,6.366666666666667,0.451,0.444,1.3666666666666665,1.9,0.7293333333333333,1.3333333333333333,1.7333333333333332,3.1,1.6666666666666667,0.7333333333333334,0.10000000000000002,1.3,1.4666666666666668,7.166666666666668,3.0
316,A.C. Green,81.0,45.66666666666666,26.43333333333333,3.466666666666667,6.633333333333334,0.5266666666666667,0.0,0.06666666666666668,0.05566666666666667,3.466666666666667,6.633333333333334,0.531,0.527,2.533333333333333,3.4,0.7213333333333334,2.566666666666667,4.5,7.033333333333332,0.9666666666666668,0.8666666666666667,0.7000000000000001,1.3333333333333333,2.5,9.533333333333333,4.433333333333334
